"transcript","cluster","GO"
"TRINITY_DN101071_c0_g1_i1",1,"GO:0034451"
"TRINITY_DN101071_c0_g1_i1",1,"GO:0040038"
"TRINITY_DN101071_c0_g1_i1",1,"GO:0042802"
"TRINITY_DN101071_c0_g1_i1",1,"GO:0043066"
"TRINITY_DN101071_c0_g1_i1",1,"GO:0045143"
"TRINITY_DN101071_c0_g1_i1",1,"GO:0045184"
"TRINITY_DN101071_c0_g1_i1",1,"GO:0045862"
"TRINITY_DN101071_c0_g1_i1",1,"GO:0051081"
"TRINITY_DN101071_c0_g1_i1",1,"GO:0051233"
"TRINITY_DN101071_c0_g1_i1",1,"GO:0051443"
"TRINITY_DN101071_c0_g1_i1",1,"GO:0070194"
"TRINITY_DN101071_c0_g1_i1",1,"GO:0071168"
"TRINITY_DN101071_c0_g1_i1",1,"GO:0090435"
"TRINITY_DN101071_c0_g1_i1",1,"GO:0097431"
"TRINITY_DN101071_c0_g1_i1",1,"GO:0106310"
"TRINITY_DN101071_c0_g1_i1",1,"GO:1901673"
"TRINITY_DN101071_c0_g1_i1",1,"GO:1904668"
"TRINITY_DN101071_c0_g1_i1",1,"GO:1904776"
"TRINITY_DN10117_c0_g1_i2",1,"GO:0000209"
"TRINITY_DN10117_c0_g1_i2",1,"GO:0000723"
"TRINITY_DN10117_c0_g1_i2",1,"GO:0005737"
"TRINITY_DN10117_c0_g1_i2",1,"GO:0006511"
"TRINITY_DN10117_c0_g1_i2",1,"GO:0010608"
"TRINITY_DN10117_c0_g1_i2",1,"GO:0019005"
"TRINITY_DN10117_c0_g1_i2",1,"GO:0019725"
"TRINITY_DN10117_c0_g1_i2",1,"GO:0031146"
"TRINITY_DN10117_c0_g1_i2",1,"GO:0031398"
"TRINITY_DN10117_c0_g1_i2",1,"GO:0031648"
"TRINITY_DN10117_c0_g1_i2",1,"GO:0032212"
"TRINITY_DN10117_c0_g1_i2",1,"GO:0035726"
"TRINITY_DN10117_c0_g1_i2",1,"GO:0042803"
"TRINITY_DN10117_c0_g1_i2",1,"GO:0048147"
"TRINITY_DN10117_c0_g1_i2",1,"GO:0061630"
"TRINITY_DN10117_c0_g1_i2",1,"GO:0071479"
"TRINITY_DN10117_c0_g1_i2",1,"GO:0090398"
"TRINITY_DN10117_c0_g1_i2",1,"GO:1900181"
"TRINITY_DN10117_c0_g1_i2",1,"GO:1902916"
"TRINITY_DN10117_c0_g1_i2",1,"GO:1990756"
"TRINITY_DN10117_c0_g1_i2",1,"GO:2000001"
"TRINITY_DN101243_c1_g1_i2",1,"GO:0046872"
"TRINITY_DN10125_c0_g1_i13",1,"GO:0003677"
"TRINITY_DN10125_c0_g1_i13",1,"GO:0003682"
"TRINITY_DN10125_c0_g1_i13",1,"GO:0005634"
"TRINITY_DN10125_c0_g1_i13",1,"GO:0005654"
"TRINITY_DN10125_c0_g1_i13",1,"GO:0005666"
"TRINITY_DN10125_c0_g1_i13",1,"GO:0005829"
"TRINITY_DN10125_c0_g1_i13",1,"GO:0032728"
"TRINITY_DN10125_c0_g1_i13",1,"GO:0042797"
"TRINITY_DN10125_c0_g1_i13",1,"GO:0045087"
